# Pressure [MeV/fm^3],Energy Density [MeV/fm^3],Number Density [/fm^3]
4.396979439086466876e-06,5.343908751779221852e-03,5.729290654689666630e-06
4.506601118509486301e-06,5.445653420518181860e-03,5.838282837409121115e-06
4.618940193360080851e-06,5.549335709631262464e-03,5.949348452357786660e-06
4.734059759989406851e-06,5.654992520140479477e-03,6.062526943843519441e-06
4.852025385934904522e-06,5.762661459680159040e-03,6.177858506550002004e-06
4.972906824245937332e-06,5.872380861053189648e-03,6.295384099811653150e-06
5.096781327485979838e-06,5.984189800003729930e-03,6.415145462160092355e-06
5.223730676205577816e-06,6.098128098476721104e-03,6.537185126147344242e-06
5.353836117868527182e-06,6.214236329707384376e-03,6.661546433451022031e-06
5.487178307584533980e-06,6.332555832864411247e-03,6.788273550266873675e-06
5.623837477434586081e-06,6.453128728313935018e-03,6.917411482994149841e-06
5.763893847090650535e-06,6.575997933907276258e-03,7.049006094219367193e-06
5.907428349913812812e-06,6.701207182530706519e-03,7.183104119004133632e-06
6.054523763381762963e-06,6.828801041202467448e-03,7.319753181482840213e-06
6.205266350881696737e-06,6.958824932060307146e-03,7.459001811776095605e-06
6.359748142356221193e-06,7.091325155648365609e-03,7.600899463225911098e-06
6.518068295506813887e-06,7.226348911614837063e-03,7.745496529958772059e-06
6.680327495105127499e-06,7.363944297730657708e-03,7.892844364782819851e-06
6.846625320380742331e-06,7.504160318505713294e-03,8.042995297425496092e-06
7.017060413810954835e-06,7.647046903073649940e-03,8.196002653118151943e-06
7.191730774216645762e-06,7.792654923830797005e-03,8.351920771534188624e-06
7.370734367837615898e-06,7.941036216432467709e-03,8.510805026087471528e-06
7.554170153268569655e-06,8.092243601460522712e-03,8.672711843597887381e-06
7.742139635717556180e-06,8.246330908141245863e-03,8.837698724330995200e-06
7.934749088510395588e-06,8.403353000569286496e-03,9.005824262418911526e-06
8.132112569598861393e-06,8.563365806864798799e-03,9.177148166669677167e-06
8.334351950748164470e-06,8.726426339205511570e-03,9.351731281772493245e-06
8.541589054965349883e-06,8.892592689250430546e-03,9.529635609906358387e-06
8.753943843293268283e-06,9.061924043324804529e-03,9.710924332759777777e-06
8.971534553589931209e-06,9.234480704122147512e-03,9.895661833969389301e-06
9.194478042139538076e-06,9.410324113491828207e-03,1.008391372198541805e-05
9.422890530881928352e-06,9.589516876995333311e-03,1.027574685337214833e-05
9.656888878126884183e-06,9.772122790646564985e-03,1.047122935655163781e-05
9.896592512349525796e-06,9.958206870337922220e-03,1.067043065599913409e-05
1.014212619241521131e-05,1.014783538455515076e-02,1.087342149689878242e-05
1.039362352724082609e-05,1.034107589029158690e-02,1.108027397026833564e-05
1.065122388730748367e-05,1.053799724879194918e-02,1.129106153856190579e-05
1.091506259783673775e-05,1.073866962027579877e-02,1.150585906175968677e-05
1.118526950861968614e-05,1.094316448612140356e-02,1.172474282395407056e-05
1.146196848121689721e-05,1.115155467510593745e-02,1.194779056044148103e-05
1.174527704204557329e-05,1.136391439134772606e-02,1.217508148532962730e-05
1.203530631424207569e-05,1.158031924456154500e-02,1.240669631966991077e-05
1.233216128321393142e-05,1.180084628316334892e-02,1.264271732012506889e-05
1.263594143716738290e-05,1.202557403086976923e-02,1.288322830818212854e-05
1.294674179626870051e-05,1.225458252756671425e-02,1.312831469992112314e-05
1.326465331375916913e-05,1.248795337211436665e-02,1.337806353635012419e-05
1.358975086128108306e-05,1.272576972865481319e-02,1.363256351431734950e-05
